Date,Close,High,Low,Open,Volume
2004-01-02,74.68030548095703,75.32485301962603,74.34460331774973,75.02271799929437,38072300
2004-01-05,75.49268341064453,75.54639184900715,74.92198579167872,74.98913030384442,27959800
2004-01-06,75.56656646728516,75.6874194628994,75.19729200223912,75.3047191638558,20472800
2004-01-07,75.82168579101562,75.90896650363155,75.12342472286375,75.45912686395168,30170400
2004-01-08,76.12384033203125,76.14398676984652,75.71428317742085,76.03655959113765,36438400
2004-01-09,75.45914459228516,76.20440393038386,75.37857421542795,75.75456418501888,54084300
2004-01-12,76.01639556884766,76.03653687823669,75.4389874617898,75.5665559177981,31564100
2004-01-13,75.57328033447266,76.02312519163252,75.0361598686599,75.92912385964581,54239700
2004-01-14,76.20439910888672,76.31182627123268,75.64713222963739,75.70756128905926,30112800
2004-01-15,76.39234924316406,76.58034155082085,75.58666646109035,76.25135501242147,38408700
2004-01-16,76.69451904296875,76.74822749645958,76.29167234613213,76.56695058080993,31922700
2004-01-20,76.67436981201172,76.97650482361293,76.41923801941348,76.89593446270428,29863000
2004-01-21,77.27863311767578,77.41291704975175,76.35209703718864,76.62737013372997,30725000
2004-01-22,77.07720184326172,77.46661237427998,76.92949210421011,77.30547680549975,29888500
2004-01-23,76.82878875732422,77.45991039334245,76.50651246252121,77.21148897604832,44245300
2004-01-26,77.79561614990234,77.83589876772966,76.7952200796532,76.80193555676048,30460600
2004-01-27,76.99664306640625,78.21859865160366,76.97650175758342,77.71504544140019,35322800
2004-01-28,76.11707305908203,77.3994520309666,75.82836913519085,77.1980339051114,52621300
2004-01-29,76.1909408569336,76.43935709994619,75.57324518108072,76.24464929284557,60117100
2004-01-30,76.1909408569336,76.35207640948323,75.929088540731,76.21779251368615,30984400
2004-02-02,76.51993560791016,76.99663196347406,75.94924307645519,76.33865360982925,38832400
2004-02-03,76.39234924316406,76.63405510226742,76.16407433312546,76.36549246744077,25093500
2004-02-04,75.76795196533203,76.3587908540493,75.72766935834014,75.99623202390192,39332600
2004-02-05,75.9895248413086,76.23123075445079,75.72096214643868,75.98280936527483,37226800
2004-02-06,76.84220123291016,77.01005226672814,76.00294606382023,76.15065579316519,37216000
2004-02-09,76.86234283447266,77.12419002099773,76.73477441760932,76.98990612892928,24851300
2004-02-10,77.11075592041016,77.30546371415004,76.71462998040616,76.72805580786115,27908100
2004-02-11,77.92990112304688,78.14475030580404,76.6542318593725,77.11078701303254,42965700
2004-02-12,77.64790344238281,78.06417080389556,77.60090534923111,77.86275259999171,27814700
2004-02-13,77.29878234863281,78.01718481103595,77.04365053515436,77.76205299755749,44739900
2004-02-17,77.99701690673828,78.17158341560457,77.72845422903792,77.7821677890594,23984300
2004-02-18,77.65461730957031,78.28573381560986,77.44647851072038,78.01717109356366,28618000
2004-02-19,77.36589050292969,78.14471653292519,77.25174792203882,78.1044339293204,51146200
