Date,Ticker,RSI20,ATR15,MACD20,Parkinson_Vol,BBL_20,BBM_20,BBU_20,Volume10,Return_1m,Return_2m,Return_3m,Return_6m,Return_9m,Return_12m,ALPHA,Mkt-RF,SMB,HML,RMW,CMA,MOM
2013-09-30,AAPL,50.38937435153186,-0.7322657157598745,-0.2408465702373567,0.0091084284884044,13.94237129879724,14.874633312225342,15.806895325653445,0.6300843883001088,-0.02148884002183027,0.0297950961935165,0.06567373710675795,0.014667969281669802,-0.010058069150683968,-0.025697479764444586,-0.008641464017938902,1.5145037896428066,-0.3368050459894545,2.1048582020750395,1.8506375347998514,-5.9045633722103545,3.028393780607911
2013-09-30,ABI.BR,52.28066970909395,0.922688093523384,0.2713714257949829,0.0086460543032113,55.20946927448883,56.95989761352539,58.71032595256195,1.0015182780760137,0.04546757474247509,0.008255641665084523,0.02468192426467275,-0.004317391754502187,0.015121483435543315,0.010796145284895475,-0.005070084094785706,0.45475964860825924,0.8723310317288183,-0.19719569691020555,-0.3231178638451322,0.4331400190766097,2.4067324454861905
2013-09-30,AD.AS,53.236959400866,1.155177767162643,0.1059620345081506,0.0072796561424849,8.550922780924562,8.799665355682373,9.048407930440185,0.8826154832944173,0.062214817303576586,0.016814607443287333,0.03843935555267963,0.017990743356956607,0.030699566133064682,0.026270394774875916,0.0029084127174652183,1.9207295672559463,-0.955328347127232,1.9772985367067797,2.0238497694531326,-1.4011382903970673,0.4093995655782804
2013-09-30,ADS.DE,46.57376914331056,0.2203472242198238,-0.2608392211126877,0.0085828141895327,67.99306721223064,69.59020957946777,71.1873519467049,0.6651168995516644,0.002249866897817032,-0.0218375429975457,-0.012011291665092072,0.0011067438441463295,0.021419382923008046,0.020538470229113814,0.012244137963783486,1.050328893102209,1.711908529873507,2.1519066968346507,4.512592573576965,0.5925645497850196,0.682419450599695
2013-09-30,AI.PA,53.377543268374446,0.9167050619080314,0.0877939682047739,0.0040973840646397,47.53188036421513,48.85081481933594,50.16974927445675,0.8493269777928952,0.03456949957357347,0.015760887139660174,0.02761991823193166,0.01825776153128933,0.013076826049017942,0.007619901146430408,0.005132793559021918,1.3486920444686645,0.33490421358282974,1.1745634982006987,2.735870554523787,-1.7574644655750706,-0.3883046341896685
2013-09-30,AIR.PA,59.92369554445864,0.8889988784271434,0.1940633202060334,0.0083736516610107,38.22911319199248,39.84177036285401,41.45442753371554,0.7032449783868603,0.08003688015803934,0.024322681648254685,0.04672918730405984,0.03122240074751015,0.05536686000618851,0.056578937739481194,-0.002600838734161906,0.91775947778613,-2.5731382365149864,2.4184578672250154,-5.56687571502394,-3.8221320105107113,1.93358466143011
2013-09-30,ALV.DE,53.51218838474787,0.3694464865632388,0.1314000306444058,0.0085481444024208,64.51239771561262,67.54068756103516,70.56897740645769,0.9298244652996498,0.07195564541207111,-0.0042753595430127245,0.01159473930071675,0.021961149358633136,0.015818728290774464,0.022339799649477188,0.01226901972126896,1.5945597621285552,-0.4201747999009702,4.154239626880868,4.891630543653253,-1.754204332422372,-0.45621083674288654
2013-09-30,AMGN,51.364536922002166,0.2342771385481559,0.2019559174968986,0.0094586760224557,80.44111481914967,83.59695930480957,86.75280379046947,0.9803687705499324,0.027354267528481246,0.0188445324742319,0.04445008889146451,0.016229958947524326,0.031063762699990116,0.02548127245519849,0.016497718126848523,0.6148160819728608,0.02626156639033954,0.2655647925747072,0.3468807947979142,0.28903018545249304,2.8053019916114508
2013-09-30,AMZN,60.49712359266023,-0.8246966277208858,0.0291206343179521,0.0081498783920021,14.341309864141978,15.236474990844728,16.131640117547477,0.6738551186592624,0.11267707361206414,0.018779905633397043,0.04030680235543427,0.026976731092497097,0.024759037294759922,0.01735378062048376,-0.01198146223832609,1.1273928728209486,2.735581215514655,-0.8236133383348794,1.0014708236935945,0.7989949590903445,-0.4806291210521332
2013-09-30,ASML.AS,64.55154521770079,-0.6031861680438196,-0.0123418839388283,0.0069125701152796,58.99862312034514,62.72309913635254,66.44757515235993,0.9918372919265626,0.10088998415008876,0.03917356648399317,0.06390371907264769,0.05819509844159709,0.04875444168908305,0.026204596467531927,-0.020164501205804375,1.9805766094143298,-4.360698036380327,2.0052241192355122,-6.006198970749853,-6.223635233048947,1.4625029822585776
2013-09-30,AXP,51.960048438235546,1.3302439369323362,0.0911856555209471,0.0096577071943087,61.7099489580813,64.21232948303222,66.71471000798314,0.8072823876458284,0.05020098508543036,0.011791556782407397,0.004396196673777775,0.02000907097851523,0.03188127372184546,0.02504185153915417,0.01640383685473173,1.1904444022299783,0.22524184195927255,2.6582056791477298,3.37141894033251,-2.2299681191618643,0.2356755071001334
2013-09-30,BA,65.32592205498402,1.0874660936149785,0.4846171637323949,0.0077935952973466,87.51631956991302,96.53844757080078,105.56057557168856,0.8083583884546002,0.13067742280056782,0.0597506256485798,0.048367503241978804,0.055398043074581294,0.05246735682746495,0.04654019669833964,0.048475676772717746,1.175006371922307,0.8993944530419051,3.9970427298524447,7.229473744335755,-2.280692882649405,1.1173208712626221
2013-09-30,BAS.DE,55.00557919545963,0.7467168625981506,0.683169202505855,0.0089579970570475,38.47310111946723,40.8330005645752,43.19290000968316,0.9690589740435948,0.07213066231250198,0.03131285589912092,0.01090593034590448,0.012332532497891346,0.003668353586257389,0.009495419955440898,0.020597100776674905,1.4063739509543036,-1.6780960333160313,0.951931034774868,4.3850401617258665,-0.5376379973482059,-3.600939461017009
